base_model,task,module,layer,module_type,rank,lora_frobenius_norm,hns_frobenius_norm,gamma_hns_matched,lora_nuclear_norm,lora_spectral_hhi,ideal_flat_gamma,gamma_to_ideal_flat_ratio,lora_top1_nuclear_share,lora_top1_energy_share,lora_top4_energy_share,lora_effective_rank,adapter_global_gamma,gamma_minus_global
Qwen3-8B,magicoder,base_model.model.model.layers.11.mlp.down_proj,11,down_proj,16,0.18899791103418914,0.09327575006075478,0.49352794192461463,0.3730824179947376,0.2566282381576424,0.49350071642755905,1.000055168100368,0.4614184475104078,0.8296319424214327,0.9746793402066417,7.0930555357947025,0.5216498252446977,-0.028121883320083085
Qwen3-8B,magicoder,base_model.model.model.layers.11.mlp.gate_proj,11,gate_proj,16,0.2477889205683692,0.1702693201624383,0.6871546951004941,0.6810094173997641,0.1323907164150791,0.6870862262905959,1.0000996509714186,0.30770955917085996,0.7151949575396396,0.8575125305313214,11.520983146071922,0.5216498252446977,0.16550486985579638
Qwen3-8B,magicoder,base_model.model.model.layers.11.mlp.up_proj,11,up_proj,16,0.2717472595844443,0.1693810643679268,0.6233036705759027,0.6774461418390274,0.16090917154951948,0.6232318063436754,1.0001153089933728,0.3537531618543674,0.7777139010590846,0.9076854499325557,10.307151888761137,0.5216498252446977,0.10165384533120503
Qwen3-8B,magicoder,base_model.model.model.layers.11.self_attn.k_proj,11,k_proj,16,0.06450749048475281,0.043270814786042236,0.6707874459365283,0.173061469104141,0.1389375133670502,0.6707029982240835,1.0001259092514396,0.2780906892278802,0.5566130382003636,0.9161377856199945,10.456601420991941,0.5216498252446977,0.14913762069183056
Qwen3-8B,magicoder,base_model.model.model.layers.11.self_attn.o_proj,11,o_proj,16,0.14346948470536552,0.08955365285276543,0.6242000034828051,0.35817855037748814,0.1604426875046038,0.6241371660201077,1.0001006789310403,0.35414351687475815,0.7816973929760638,0.9106589424781033,10.260321088029915,0.5216498252446977,0.10255017823810741
Qwen3-8B,magicoder,base_model.model.model.layers.11.self_attn.q_proj,11,q_proj,16,0.15491602101733312,0.09631710571822966,0.6217375393824052,0.3852332951501012,0.16171303814044685,0.6216808510512262,1.0000911855835404,0.3493290382669202,0.7546130997211762,0.9155052184948308,10.096073547016571,0.5216498252446977,0.10008771413770745
Qwen3-8B,magicoder,base_model.model.model.layers.11.self_attn.v_proj,11,v_proj,16,0.09034701316587494,0.04551250767111598,0.5037522113493239,0.18202241405379027,0.24636434752998965,0.5036757931322021,1.0001517210439013,0.4601462902911886,0.8594368892721727,0.9664597329354189,7.3718355932768995,0.5216498252446977,-0.01789761389537381
Qwen3-8B,magicoder,base_model.model.model.layers.12.mlp.down_proj,12,down_proj,16,0.16121317068464439,0.0936652261256574,0.5810023196484346,0.37461992632597685,0.18519075020017398,0.5809387730776446,1.000109386003715,0.37170866797146157,0.7460811822176443,0.9446335669920606,9.078818737817375,0.5216498252446977,0.05935249440373691
Qwen3-8B,magicoder,base_model.model.model.layers.12.mlp.gate_proj,12,gate_proj,16,0.23417339135948176,0.16171833318371873,0.6905922668876731,0.646851722151041,0.1310586269273501,0.6905691957525321,1.000033408868051,0.30807313726608027,0.7241725335454354,0.8496348355069028,11.629375644903003,0.5216498252446977,0.16894244164297534
Qwen3-8B,magicoder,base_model.model.model.layers.12.mlp.up_proj,12,up_proj,16,0.22495493557881382,0.15588517215551068,0.692961778119759,0.6234771199524403,0.13018172175828743,0.6928911321152172,1.0001019583037902,0.29642716612443826,0.6749723665486208,0.8625163868149063,11.47673405581801,0.5216498252446977,0.1713119528750613
