base_model,task,module,layer,module_type,dose_label,dose,lora_fro,head_fro,scalar_gamma_head_matched,suppressed_directions
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.q_proj,11,q_proj,1p00,1.0,1.00970458984375,0.36665207147598267,0.36312806606292725,3
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.v_proj,11,v_proj,0p00,0.0,0.4179837107658386,0.4179837107658386,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.v_proj,11,v_proj,0p25,0.25,0.4179837107658386,0.33554476499557495,0.8027699589729309,3
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.v_proj,11,v_proj,0p50,0.5,0.4179837107658386,0.25548604130744934,0.6112344264984131,3
Qwen3-8B,metamath,base_model.model.model.layers.11.self_attn.v_proj,11,v_proj,1p00,1.0,0.4179837107658386,0.1226678341627121,0.2934751510620117,3
Qwen3-8B,metamath,base_model.model.model.layers.12.mlp.down_proj,12,down_proj,0p00,0.0,0.6235533356666565,0.6235533356666565,1.0,4
Qwen3-8B,metamath,base_model.model.model.layers.12.mlp.down_proj,12,down_proj,0p25,0.25,0.6235533356666565,0.5394542813301086,0.8651293516159058,4
Qwen3-8B,metamath,base_model.model.model.layers.12.mlp.down_proj,12,down_proj,0p50,0.5,0.6235533356666565,0.4608778953552246,0.7391154170036316,4
Qwen3-8B,metamath,base_model.model.model.layers.12.mlp.down_proj,12,down_proj,1p00,1.0,0.6235533356666565,0.33588579297065735,0.5386641025543213,4
Qwen3-8B,metamath,base_model.model.model.layers.12.mlp.gate_proj,12,gate_proj,0p00,0.0,1.934185266494751,1.934185266494751,1.0,3
Qwen3-8B,metamath,base_model.model.model.layers.12.mlp.gate_proj,12,gate_proj,0p25,0.25,1.934185266494751,1.567335605621338,0.8103337287902832,3
Qwen3-8B,metamath,base_model.model.model.layers.12.mlp.gate_proj,12,gate_proj,0p50,0.5,1.934185266494751,1.2149450778961182,0.6281430721282959,3
Qwen3-8B,metamath,base_model.model.model.layers.12.mlp.gate_proj,12,gate_proj,1p00,1.0,1.934185266494751,0.6537869572639465,0.33801671862602234,3
Qwen3-8B,metamath,base_model.model.model.layers.12.mlp.up_proj,12,up_proj,0p00,0.0,0.993429958820343,0.993429958820343,1.0,5
Qwen3-8B,metamath,base_model.model.model.layers.12.mlp.up_proj,12,up_proj,0p25,0.25,0.993429958820343,0.8895147442817688,0.8953975439071655,5
Qwen3-8B,metamath,base_model.model.model.layers.12.mlp.up_proj,12,up_proj,0p50,0.5,0.993429958820343,0.793917715549469,0.7991682887077332,5
Qwen3-8B,metamath,base_model.model.model.layers.12.mlp.up_proj,12,up_proj,1p00,1.0,0.993429958820343,0.6423776745796204,0.6466260552406311,5
Qwen3-8B,metamath,base_model.model.model.layers.12.self_attn.k_proj,12,k_proj,0p00,0.0,0.3786331117153168,0.3786331117153168,1.0,4
