base	task	seed	method	checkpoint	magicoder	metamath	tulu	commonsense	target	off_score	forgetting_gap	path
Qwen3-8B	magicoder	44	spectral_surgery_grad_direction	Qwen3-8B/magicoder/seed44	67.07317073170732	82.03184230477635	61.737523105360445	82.48539559445992	67.07317073170732	75.41825366819891	3.950939432456406	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/magicoder/seed44/grad_direction
Qwen3-8B	metamath	44	spectral_surgery_grad_direction	Qwen3-8B/metamath/seed44	47.5609756097561	84.38210765731615	66.54343807763401	83.11397778922486	84.38210765731615	65.73946382553832	7.3482560149076575	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/metamath/seed44/grad_direction
Qwen3-8B	tulu	44	spectral_surgery_grad_direction	Qwen3-8B/tulu/seed44	82.3170731707317	88.77937831690674	67.09796672828097	84.39666708383224	67.09796672828097	85.16437285715689	0.0	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Qwen3-8B/tulu/seed44/grad_direction
Llama-3.1-8B-Instruct	magicoder	42	spectral_surgery_grad_direction	Llama-3.1-8B-Instruct/magicoder/seed42	54.268292682926834	54.814253222137985	54.34380776340111	68.96573644292361	54.268292682926834	59.3745991428209	5.923622612654586	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Llama-3.1-8B-Instruct/magicoder/seed42/grad_direction
Llama-3.1-8B-Instruct	metamath	42	spectral_surgery_grad_direction	Llama-3.1-8B-Instruct/metamath/seed42	54.87804878048781	76.57316148597423	55.45286506469501	64.13828918239984	76.57316148597423	58.15640100919422	4.635918886656152	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Llama-3.1-8B-Instruct/metamath/seed42/grad_direction
Llama-3.1-8B-Instruct	tulu	42	spectral_surgery_grad_direction	Llama-3.1-8B-Instruct/tulu/seed42	60.97560975609756	44.275966641395	63.03142329020333	70.73295799339587	63.03142329020333	58.66151146362947	6.259510586392395	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Llama-3.1-8B-Instruct/tulu/seed42/grad_direction
Llama-3.1-8B-Instruct	magicoder	43	spectral_surgery_grad_direction	Llama-3.1-8B-Instruct/magicoder/seed43	56.09756097560976	60.27293404094011	45.28650646950093	70.69186930375	56.09756097560976	58.75043660473034	6.5477851507451446	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Llama-3.1-8B-Instruct/magicoder/seed43/grad_direction
Llama-3.1-8B-Instruct	metamath	43	spectral_surgery_grad_direction	Llama-3.1-8B-Instruct/metamath/seed43	54.268292682926834	74.52615617892343	55.822550831792974	63.668452105450136	74.52615617892343	57.91976520672332	4.669302656606734	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Llama-3.1-8B-Instruct/metamath/seed43/grad_direction
Llama-3.1-8B-Instruct	tulu	43	spectral_surgery_grad_direction	Llama-3.1-8B-Instruct/tulu/seed43	63.41463414634146	60.34874905231236	64.32532347504622	73.79031828785484	64.32532347504622	65.85123382883621	0.6823351023502653	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Llama-3.1-8B-Instruct/tulu/seed43/grad_direction
Llama-3.1-8B-Instruct	magicoder	44	spectral_surgery_grad_direction	Llama-3.1-8B-Instruct/magicoder/seed44	54.87804878048781	61.18271417740713	47.31977818853974	70.49541901493174	54.87804878048781	59.66597046029287	5.632251295182617	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Llama-3.1-8B-Instruct/magicoder/seed44/grad_direction
Llama-3.1-8B-Instruct	metamath	44	spectral_surgery_grad_direction	Llama-3.1-8B-Instruct/metamath/seed44	55.487804878048784	74.22289613343442	58.04066543438078	64.37601946781626	74.22289613343442	59.30149659341527	3.6940753349554236	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Llama-3.1-8B-Instruct/metamath/seed44/grad_direction
Llama-3.1-8B-Instruct	tulu	44	spectral_surgery_grad_direction	Llama-3.1-8B-Instruct/tulu/seed44	62.80487804878049	38.51402577710387	63.03142329020333	73.62748387916082	63.03142329020333	58.31546256834839	7.960576194086428	/dataset1/zailong/workspace/peft-sft-lab/reports/posthoc_baselines_para_spectral_surgery/spectral_surgery/adapters/Llama-3.1-8B-Instruct/tulu/seed44/grad_direction
