cohort	outcome	feature	family	sources	raw_spearman	within_base_spearman	within_base_task_spearman	within_base_task_pearson	permutation_p	exact_seed_permutations	fdr_q
source18	target	fro_ratio	source	18						46656	
source18	off_score	fro_ratio	source	18						46656	
source18	forgetting_gap	fro_ratio	source	18						46656	
source18	hns_target_gain	fro_ratio	source	18						46656	
source18	hns_off_gain	fro_ratio	source	18						46656	
source18	hns_forgetting_reduction	fro_ratio	source	18						46656	
source18	target	original_head1_retention	source	18						46656	
source18	off_score	original_head1_retention	source	18						46656	
source18	forgetting_gap	original_head1_retention	source	18						46656	
source18	hns_target_gain	original_head1_retention	source	18						46656	
source18	hns_off_gain	original_head1_retention	source	18						46656	
source18	hns_forgetting_reduction	original_head1_retention	source	18						46656	
source18	target	previous_mean_entropy_rank	source	18	-0.15400535305023205	0.4402602797482992	-0.1336306209562122	0.004914286236978988	0.6944444444444444	46656	0.9319319319319319
source18	off_score	previous_mean_entropy_rank	source	18	-0.4819401444788441	0.4083333333333333	-0.41666666666666674	-0.3445933820171438	0.19920267489711935	46656	0.34860468106995884
source18	forgetting_gap	previous_mean_entropy_rank	source	18	-0.08298866815883083	-0.6134670389756931	0.27386127875258304	0.3237082957215655	0.4367283950617284	46656	0.6793552812071331
source18	hns_target_gain	previous_mean_entropy_rank	source	18	-0.47520686514272414	-0.020920685218893075	0.2175970699446223	0.28555260670814936	0.5046296296296297	46656	0.9511442336645588
source18	hns_off_gain	previous_mean_entropy_rank	source	18	-0.22187822497420018	-0.5416666666666666	0.33333333333333337	0.4699804411148642	0.3191872427983539	46656	0.6383744855967078
source18	hns_forgetting_reduction	previous_mean_entropy_rank	source	18	-0.14523016927795393	-0.6134670389756931	0.0	0.18663041527095203	1.0	46656	1.0
source18	target	base_left_overlap_k16	source	18	0.1839795492814853	-0.2976998082107547	-0.0445435403187374	0.05791780586206083	0.9567901234567902	46656	0.95679012345679
source18	off_score	base_left_overlap_k16	source	18	0.8885448916408668	0.65	0.0	-0.19891910797309545	1.0	46656	1.0
