checkpoint	base	train_task	seed	module	nuclear	fro	sigma1	entropy_rank	top1_energy
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.3.mlp.down_proj	3.461149290204048	1.2268149449234158	1.0082167387008667	11.680539043223076	0.6753823255301863
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.3.mlp.gate_proj	5.729775030165911	4.521479349834921	4.507215976715088	2.9140686660229784	0.9937007892618128
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.3.mlp.up_proj	2.8460239432752132	1.4649260369551729	1.3932487964630127	7.211831148728794	0.9045362100881524
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.3.self_attn.k_proj	2.277653157711029	0.7748688918828687	0.5984141826629639	11.90601541831864	0.5964132785420274
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.3.self_attn.o_proj	2.9790526181459427	1.1289131613414878	0.8274128437042236	10.436378855146463	0.5371844636362658
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.3.self_attn.q_proj	4.528331510722637	1.831288722341648	1.5389760732650757	9.727841115119844	0.7062363937935185
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.3.self_attn.v_proj	1.9894881453365088	1.0968670826936875	1.0083427429199219	5.895159854687093	0.8451004778524782
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.30.mlp.down_proj	6.037521377205849	1.9899523539084614	1.5093055963516235	12.410246817188025	0.5752663999572445
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.30.mlp.gate_proj	11.309363648295403	5.086392262968609	4.618068218231201	8.602803019623108	0.8243297773013517
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.30.mlp.up_proj	8.872360184788704	3.782700722757086	3.430513858795166	9.512476835269776	0.8224592539544265
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.30.self_attn.k_proj	2.832442820072174	1.291750294693135	1.1834781169891357	8.478876311571906	0.8393891003632954
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.30.self_attn.o_proj	4.949817210435867	1.9050290311881954	1.6282109022140503	10.56482299926441	0.7304964672647978
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.30.self_attn.q_proj	5.60608983784914	2.5734661846539164	2.4016432762145996	8.7482694195128	0.8709236207351464
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.30.self_attn.v_proj	1.8364110998809338	0.6767999377454367	0.5312249064445496	10.773931622734857	0.6160787613876473
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.31.mlp.down_proj	5.834574431180954	2.2391428468674617	1.9604803323745728	10.853236308259268	0.7665868740618246
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.31.mlp.gate_proj	12.206779956817627	5.262508480751924	4.7231645584106445	9.076235336291841	0.8055278061189286
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.31.mlp.up_proj	9.554288670420647	3.7296532993596565	3.2516138553619385	10.508517895252428	0.7600829763441233
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.31.self_attn.k_proj	3.05581247061491	0.9908020876571867	0.6793680787086487	12.266258397964549	0.4701500080534691
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.31.self_attn.o_proj	5.660713508725166	1.5432584542447036	0.8239866495132446	14.755553019941898	0.2850775519933621
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.31.self_attn.q_proj	5.968559458851814	1.8621333061853336	1.2957370281219482	12.984190157245335	0.48418597281078946
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.31.self_attn.v_proj	2.0157907716929913	0.649614940379292	0.4117722809314728	12.284776692771537	0.40179285262433223
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.32.mlp.down_proj	6.108913332223892	2.0683452067965593	1.5988779067993164	12.048777483744217	0.5975641773187774
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.32.mlp.gate_proj	12.34125018119812	5.455125497284767	4.933573246002197	8.805151921832964	0.8179253496456008
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.32.mlp.up_proj	9.629907742142677	4.113785491276065	3.707705497741699	9.312079075045062	0.8123200588916275
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.32.self_attn.k_proj	2.692577313631773	0.9132252792189768	0.6770355105400085	11.775631309728624	0.5496257186663154
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.32.self_attn.o_proj	4.30758810788393	1.4026994839767508	1.094451665878296	12.749247293271852	0.6087849377960123
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.32.self_attn.q_proj	5.5771706104278564	2.0650661919239472	1.735160231590271	11.014775951152567	0.7060105933001152
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.32.self_attn.v_proj	1.9515665248036385	0.6775190340164812	0.5064342617988586	11.45551824359115	0.5587315009884923
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.33.mlp.down_proj	4.7068130895495415	1.8852893267258228	1.6911581754684448	10.454671508595828	0.8046600523985061
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.33.mlp.gate_proj	11.049194887280464	5.596844432664928	5.269660472869873	7.242144023846605	0.8865001171238791
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.33.mlp.up_proj	9.661486461758614	4.119735712918026	3.735314130783081	9.513986624690622	0.8220827757609511
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.33.self_attn.k_proj	3.1633929423987865	1.0499664187828934	0.6912698149681091	11.8060237064235	0.433455350666244
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.33.self_attn.o_proj	6.063630193471909	1.7064328674711393	0.9428256154060364	14.26775700066037	0.3052701440663477
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.33.self_attn.q_proj	5.69153755903244	2.0433998983345956	1.6524204015731812	11.294486906978527	0.6539346679252834
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.33.self_attn.v_proj	1.8314393367618322	0.8649763150676637	0.7985785603523254	8.172418953870636	0.8523674593547714
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.34.mlp.down_proj	4.0664899200201035	2.3949744584476016	2.349069356918335	6.077358062639677	0.9620328610785512
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.34.mlp.gate_proj	9.804606527090073	5.7504439532498575	5.613196849822998	5.9230946665139115	0.9528352067377918
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	base_model.model.model.layers.34.mlp.up_proj	8.04365323483944	3.7983184519622117	3.560919761657715	8.383071514164879	0.8789043805601611
