base	train_task	method	quantity	n	mean	sample_sd	seed42	seed43	seed44
Qwen3-8B	metamath	original_lora	original_head1_retention	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	original_lora	original_head4_retention	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	original_lora	scalar_fit	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	original_lora	shape_residual	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	original_lora	displacement	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	original_lora	target	3	84.05357594136973	0.08754363444877358	84.1546626231994	84.00303260045489	84.00303260045489
Qwen3-8B	metamath	original_lora	target_gain	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	original_lora	off_score	3	68.15773232448684	4.102651148306114	71.29307699567126	69.66560169554636	63.51451828224293
Qwen3-8B	metamath	original_lora	off_gain	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	original_lora	forgetting_gap	3	4.948178871807206	4.054152408740407	1.798836842342548	3.5232856949641636	9.522414078114908
Qwen3-8B	metamath	original_lora	forgetting_reduction	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_fro	entropy_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_fro	energy_entropy_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_fro	stable_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_fro	participation_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_fro	nuclear_participation_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_fro	top1_energy	3	0.0625	0.0	0.0625	0.0625	0.0625
Qwen3-8B	metamath	flat_fro	top4_energy	3	0.25	0.0	0.25	0.25	0.25
Qwen3-8B	metamath	flat_fro	log_condition	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_fro	log_fro	3	3.686607578948045	0.06462437196993585	3.6119945307749077	3.7249036656872367	3.72292454038199
Qwen3-8B	metamath	flat_fro	log_nuclear	3	7.684736025251666	0.08146239319619888	7.590671496034648	7.731627710210591	7.7319088695097555
Qwen3-8B	metamath	flat_fro	log_head_rss	3	2.3003138416484483	0.06462437483443866	2.2257007899859795	2.3386099198797017	2.336630815079663
Qwen3-8B	metamath	flat_fro	fro_ratio	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_fro	nuclear_ratio	3	1.5027366666666666	0.06420179852101754	1.57687	1.46591	1.46543
Qwen3-8B	metamath	flat_fro	head_ratio	3	0.2965533333333333	0.009287972509290362	0.28583	0.30207	0.30176
Qwen3-8B	metamath	flat_fro	original_head1_retention	3	0.08800333333333332	0.005459673372403643	0.0817	0.09125	0.09106
Qwen3-8B	metamath	flat_fro	original_head4_retention	3	0.28248333333333336	0.006209286056652018	0.27532	0.2858	0.28633
Qwen3-8B	metamath	flat_fro	scalar_fit	3	0.6300433333333333	0.030674714885933877	0.59463	0.64715	0.64835
Qwen3-8B	metamath	flat_fro	shape_residual	3	0.6024166666666666	0.038115884265399545	0.64642	0.58119	0.57964
Qwen3-8B	metamath	flat_fro	displacement	3	0.8596966666666668	0.035266131533432096	0.90041	0.84006	0.83862
Qwen3-8B	metamath	flat_fro	target	3	87.79378316906748	0.6205726134853954	87.64215314632298	87.26307808946171	88.47611827141773
Qwen3-8B	metamath	flat_fro	target_gain	3	3.740207227697752	0.6447991317752321	3.487490523123583	3.260045489006828	4.4730856709628455
Qwen3-8B	metamath	flat_fro	off_score	3	74.22557345299835	0.5682753881149073	73.86605391813983	74.88072379119913	73.92994264965606
Qwen3-8B	metamath	flat_fro	off_gain	3	6.067841128511489	3.9901557354856423	2.5729769224685697	5.215122095652774	10.415424367413124
Qwen3-8B	metamath	flat_fro	forgetting_gap	3	0.13550135501355007	0.11734761568894826	0.2032520325203251	0.0	0.2032520325203251
Qwen3-8B	metamath	flat_fro	forgetting_reduction	3	4.812677516793657	4.019988778825861	1.595584809822223	3.5232856949641636	9.319162045594583
Qwen3-8B	metamath	flat_nuclear	entropy_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_nuclear	energy_entropy_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_nuclear	stable_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_nuclear	participation_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_nuclear	nuclear_participation_rank	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_nuclear	top1_energy	3	0.0625	0.0	0.0625	0.0625	0.0625
Qwen3-8B	metamath	flat_nuclear	top4_energy	3	0.25	0.0	0.25	0.25	0.25
Qwen3-8B	metamath	flat_nuclear	log_condition	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_nuclear	log_fro	3	3.2465745907225596	0.11339129252996119	3.115641814977183	3.3122444443749606	3.311837512815534
Qwen3-8B	metamath	flat_nuclear	log_nuclear	3	7.278046941905316	0.12368364932576888	7.135229790169331	7.349153875509804	7.349757160036814
Qwen3-8B	metamath	flat_nuclear	log_head_rss	3	1.8602808503061488	0.11339129572011479	1.7293480708827207	1.9259507085129295	1.9255437715227959
Qwen3-8B	metamath	flat_nuclear	fro_ratio	3	0.6445233333333333	0.03098497915657412	0.60875	0.66189	0.66293
Qwen3-8B	metamath	flat_nuclear	nuclear_ratio	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	flat_nuclear	head_ratio	3	0.19133	0.015008321025351247	0.174	0.19994	0.20005
Qwen3-8B	metamath	flat_nuclear	original_head1_retention	3	0.03675666666666667	0.005609013579350055	0.03028	0.03997	0.04002
Qwen3-8B	metamath	flat_nuclear	original_head4_retention	3	0.11769333333333333	0.013568501513923097	0.10203	0.12521	0.12584
Qwen3-8B	metamath	flat_nuclear	scalar_fit	3	0.41605	0.03939287879807718	0.37057	0.4381	0.43948
Qwen3-8B	metamath	flat_nuclear	shape_residual	3	0.5839500000000001	0.03939287879807723	0.62943	0.5619	0.56052
Qwen3-8B	metamath	flat_nuclear	displacement	3	0.76388	0.02553457264181247	0.79336	0.7496	0.74868
Qwen3-8B	metamath	flat_nuclear	target	3	87.54106646449331	0.5790467140454693	88.17285822592874	87.03563305534496	87.41470811220621
Qwen3-8B	metamath	flat_nuclear	target_gain	3	3.487490523123578	0.4971522762927929	4.018195602729335	3.0326004548900727	3.4116755117513264
Qwen3-8B	metamath	flat_nuclear	off_score	3	75.49362319213365	0.9260709978446754	75.19983334415933	76.5309523567975	74.75008387544415
Qwen3-8B	metamath	flat_nuclear	off_gain	3	7.33589086764681	3.6869929889714137	3.9067563484880736	6.865350661251142	11.235565593201216
Qwen3-8B	metamath	flat_nuclear	forgetting_gap	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	flat_nuclear	forgetting_reduction	3	4.948178871807206	4.054152408740407	1.798836842342548	3.5232856949641636	9.522414078114908
Qwen3-8B	metamath	hns_f4_s1	entropy_rank	3	0.9998900000000001	1.3597399555105182e-16	0.99989	0.99989	0.99989
Qwen3-8B	metamath	hns_f4_s1	energy_entropy_rank	3	0.9995733333333333	1.1547005383804064e-05	0.99956	0.99958	0.99958
Qwen3-8B	metamath	hns_f4_s1	stable_rank	3	0.9591166666666666	8.62167810425239e-05	0.9591	0.95921	0.95904
Qwen3-8B	metamath	hns_f4_s1	participation_rank	3	0.9991566666666666	1.5275252316510515e-05	0.99914	0.99916	0.99917
Qwen3-8B	metamath	hns_f4_s1	nuclear_participation_rank	3	0.9997866666666666	5.773502691869982e-06	0.99978	0.99979	0.99979
Qwen3-8B	metamath	hns_f4_s1	top1_energy	3	0.06517	1.0000000000003062e-05	0.06517	0.06516	0.06518
Qwen3-8B	metamath	hns_f4_s1	top4_energy	3	0.25784666666666667	6.11010092660784e-05	0.25786	0.2579	0.25778
Qwen3-8B	metamath	hns_f4_s1	log_condition	3	0.05223	0.0005139066063011823	0.05268	0.05234	0.05167
Qwen3-8B	metamath	hns_f4_s1	log_fro	3	3.2466790271653703	0.11338828134969905	3.1157497250215784	3.3123454888991737	3.3119418675753587
Qwen3-8B	metamath	hns_f4_s1	log_nuclear	3	7.278046941905316	0.12368364932576888	7.135229790169331	7.349153875509804	7.349757160036814
Qwen3-8B	metamath	hns_f4_s1	log_head_rss	3	1.8808856130639822	0.11343060039987225	1.7499072655643313	1.9464487582339405	1.9463008153936752
Qwen3-8B	metamath	hns_f4_s1	fro_ratio	3	0.6445866666666668	0.030987949808487427	0.60881	0.66195	0.663
Qwen3-8B	metamath	hns_f4_s1	nuclear_ratio	3	1.0	0.0	1.0	1.0	1.0
Qwen3-8B	metamath	hns_f4_s1	head_ratio	3	0.19530999999999998	0.015328858404982423	0.17761	0.20408	0.20424
Qwen3-8B	metamath	hns_f4_s1	original_head1_retention	3	0.03627	0.005352036995387831	0.03009	0.03936	0.03936
Qwen3-8B	metamath	hns_f4_s1	original_head4_retention	3	0.11695333333333334	0.013093759327761198	0.10184	0.12414	0.12488
Qwen3-8B	metamath	hns_f4_s1	scalar_fit	3	0.41557333333333335	0.038877245701481114	0.37069	0.43727	0.43876
Qwen3-8B	metamath	hns_f4_s1	shape_residual	3	0.5849833333333333	0.03836172093810877	0.62927	0.56364	0.56204
Qwen3-8B	metamath	hns_f4_s1	displacement	3	0.7645733333333333	0.02485780025129607	0.79327	0.75076	0.74969
Qwen3-8B	metamath	hns_f4_s1	target	3	87.46525145312104	0.683737642581182	88.17285822592874	86.8081880212282	87.41470811220621
Qwen3-8B	metamath	hns_f4_s1	target_gain	3	3.4116755117513264	0.6065200909780089	4.018195602729335	2.8051554207733176	3.4116755117513264
Qwen3-8B	metamath	hns_f4_s1	off_score	3	75.2767121929747	1.2347391862575827	74.9204081763363	76.65042534313297	74.25930305945482
Qwen3-8B	metamath	hns_f4_s1	off_gain	3	7.118979868487846	3.560622816791229	3.6273311806650383	6.984823647586609	10.74478477721189
Qwen3-8B	metamath	hns_f4_s1	forgetting_gap	3	0.0	0.0	0.0	0.0	0.0
Qwen3-8B	metamath	hns_f4_s1	forgetting_reduction	3	4.948178871807206	4.054152408740407	1.798836842342548	3.5232856949641636	9.522414078114908
Qwen3-8B	tulu	original_lora	entropy_rank	3	0.7706166666666666	0.029992576303701116	0.73692	0.79439	0.78054
Qwen3-8B	tulu	original_lora	energy_entropy_rank	3	0.39294	0.044963759851685006	0.34242	0.42857	0.40783
Qwen3-8B	tulu	original_lora	stable_rank	3	0.14060666666666666	0.012258977662649256	0.12682	0.15028	0.14472
