cohort	field	value	clusters	feature	outcome	within_spearman
joint_flat_hns	train_task	magicoder	6	entropy_rank	target_gain	0.36049204695725007
joint_flat_hns	train_task	magicoder	6	entropy_rank	off_gain	0.4216370213557839
joint_flat_hns	train_task	magicoder	6	entropy_rank	forgetting_reduction	0.6481812160876685
joint_flat_hns	train_task	magicoder	6	energy_entropy_rank	target_gain	0.36049204695725007
joint_flat_hns	train_task	magicoder	6	energy_entropy_rank	off_gain	0.4216370213557839
joint_flat_hns	train_task	magicoder	6	energy_entropy_rank	forgetting_reduction	0.6481812160876685
joint_flat_hns	train_task	magicoder	6	stable_rank	target_gain	0.36049204695725007
joint_flat_hns	train_task	magicoder	6	stable_rank	off_gain	0.4216370213557839
joint_flat_hns	train_task	magicoder	6	stable_rank	forgetting_reduction	0.6481812160876685
joint_flat_hns	train_task	magicoder	6	participation_rank	target_gain	0.36049204695725007
joint_flat_hns	train_task	magicoder	6	participation_rank	off_gain	0.4216370213557839
joint_flat_hns	train_task	magicoder	6	participation_rank	forgetting_reduction	0.6481812160876685
joint_flat_hns	train_task	magicoder	6	nuclear_participation_rank	target_gain	0.36049204695725007
joint_flat_hns	train_task	magicoder	6	nuclear_participation_rank	off_gain	0.4216370213557839
joint_flat_hns	train_task	magicoder	6	nuclear_participation_rank	forgetting_reduction	0.6481812160876685
joint_flat_hns	train_task	magicoder	6	top1_energy	target_gain	-0.36049204695725007
joint_flat_hns	train_task	magicoder	6	top1_energy	off_gain	-0.4216370213557839
joint_flat_hns	train_task	magicoder	6	top1_energy	forgetting_reduction	-0.6481812160876685
joint_flat_hns	train_task	magicoder	6	top4_energy	target_gain	-0.36049204695725007
joint_flat_hns	train_task	magicoder	6	top4_energy	off_gain	-0.4216370213557839
joint_flat_hns	train_task	magicoder	6	top4_energy	forgetting_reduction	-0.6481812160876685
joint_flat_hns	train_task	magicoder	6	log_condition	target_gain	-0.36049204695725007
joint_flat_hns	train_task	magicoder	6	log_condition	off_gain	-0.4216370213557839
joint_flat_hns	train_task	magicoder	6	log_condition	forgetting_reduction	-0.6481812160876685
joint_flat_hns	train_task	magicoder	6	log_fro	target_gain	-0.31543054108759383
joint_flat_hns	train_task	magicoder	6	log_fro	off_gain	-0.4567734398020992
joint_flat_hns	train_task	magicoder	6	log_fro	forgetting_reduction	-0.4321208107251124
joint_flat_hns	train_task	magicoder	6	log_nuclear	target_gain	0.0883021571376696
joint_flat_hns	train_task	magicoder	6	log_nuclear	off_gain	0.08606629658238704
joint_flat_hns	train_task	magicoder	6	log_nuclear	forgetting_reduction	0.2886751345948129
joint_flat_hns	train_task	magicoder	6	log_head_rss	target_gain	-0.41039134083406165
joint_flat_hns	train_task	magicoder	6	log_head_rss	off_gain	-0.6
joint_flat_hns	train_task	magicoder	6	log_head_rss	forgetting_reduction	-0.6335525936249404
joint_flat_hns	train_task	magicoder	6	fro_ratio	target_gain	-0.31543054108759383
joint_flat_hns	train_task	magicoder	6	fro_ratio	off_gain	-0.4567734398020992
joint_flat_hns	train_task	magicoder	6	fro_ratio	forgetting_reduction	-0.4321208107251124
joint_flat_hns	train_task	magicoder	6	nuclear_ratio	target_gain	0.0883021571376696
joint_flat_hns	train_task	magicoder	6	nuclear_ratio	off_gain	0.08606629658238704
joint_flat_hns	train_task	magicoder	6	nuclear_ratio	forgetting_reduction	0.2886751345948129
joint_flat_hns	train_task	magicoder	6	head_ratio	target_gain	-0.41039134083406165
joint_flat_hns	train_task	magicoder	6	head_ratio	off_gain	-0.6
joint_flat_hns	train_task	magicoder	6	head_ratio	forgetting_reduction	-0.6335525936249404
