cohort	outcome	feature	family	rows	source_clusters	raw_pearson	raw_spearman	within_pearson	within_spearman	cluster_ci_low	cluster_ci_high	partial_pearson_logFro	median_checkpoint_spearman	positive_checkpoints	negative_checkpoints	nonconstant_checkpoints	permutation_p	fdr_q	missing_rows
hns_grid_target	target_gain	base_bilateral_overlap_k16	core	180	18	-0.14294620968708244	0.2062821887996695	-0.8126790429547304	-0.371758267909634	-0.5129616450199499	-0.23292373720762927	-0.3876311499006827	-0.32047901060824513	3	15	18	0.0004997501249375312	0.0025820423121772447	
hns_grid_target	target_gain	base_left_overlap_k4	scope	180	18	0.38369040919603503	0.3862505539704964	-0.6536503521821688	-0.21313000485070374	-0.3621208695954979	-0.07568320597551767	-0.34161812944510045	-0.17973579024224912	6	12	18	0.005997001499250375	0.007196401799100449	
hns_grid_target	target_gain	base_right_overlap_k4	scope	180	18	-0.2931370783452305	-0.5447641464300779	-0.5182527900553742	-0.3889684891029273	-0.5303847201586975	-0.24687726057037473	0.4719097661930336	-0.3513776270494703	2	16	18	0.0004997501249375312	0.0007496251874062968	
hns_grid_target	target_gain	base_bilateral_overlap_k4	scope	180	18	-0.14461611010378875	0.20134875302790373	-0.7983089882577187	-0.3764835676220349	-0.4953156135285738	-0.25736711592857875	-0.34486951993912446	-0.4588151005730123	2	16	18	0.0004997501249375312	0.0007496251874062968	
hns_grid_target	target_gain	base_left_overlap_k32	scope	180	18	0.5155302815520376	0.4394920522288787	-0.4985144405192315	0.023852190938487082	-0.1676991576936431	0.20689250512245552	-0.46222614599006334	0.07716196392887872	10	8	18	0.7521239380309845	0.7521239380309845	
hns_grid_target	target_gain	base_right_overlap_k32	scope	180	18	-0.3597437300139942	-0.6752778510059376	-0.5200131243561976	-0.39152114024247847	-0.532911981283599	-0.2459428925844682	0.5147180247439159	-0.35737786839852537	2	16	18	0.0004997501249375312	0.0007496251874062968	
hns_grid_target	target_gain	base_bilateral_overlap_k32	scope	180	18	-0.14538733180919652	0.17904629780671572	-0.8041361810104003	-0.4006384731491461	-0.5465002460257332	-0.26444132114374036	-0.33486614573945434	-0.4260762251373133	2	16	18	0.0004997501249375312	0.0007496251874062968	
hns_grid_retention	target_gain	shannon_eff_rank	core	120	12	0.31796189295719646	0.13133456935728258	0.8070884477525327	0.09150076343757145	-0.10093921150385149	0.29093554312099307	0.5329394161393225	0.13331103461132762	7	5	12	0.3453273363318341	0.35838747293020157	
hns_grid_retention	target_gain	r2_participation	core	120	12	0.32289372051529786	0.13252882242245784	0.7914661465217474	0.10044716299771234	-0.09182397093639035	0.30777820615104895	0.3795031152021521	0.10293929556681819	8	4	12	0.30434782608695654	0.35838747293020157	
hns_grid_retention	target_gain	stable_rank	core	120	12	0.27184189845642964	0.11218618630550103	0.623634104501705	0.10989977140194589	-0.0867582285737962	0.3182335461752381	-0.08344755495915368	0.13755636264976917	7	5	12	0.2538730634682659	0.35838747293020157	
