base	task	seed	checkpoint	method	benchmark	role	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage
Llama-3.1-8B-Instruct	magicoder	42	Llama-3.1-8B-Instruct/magicoder/seed42	flat_e	magicoder	target	0.5555555555555556	1	0.6	1	0.0	1	0.018292682926829267	1	0.0	1	0.04411764705882353	1	1	164	18	20	58	68	10	12	0	3
Llama-3.1-8B-Instruct	magicoder	43	Llama-3.1-8B-Instruct/magicoder/seed43	hns_f4_s1	magicoder	target	0.4444444444444444	1	0.6666666666666666	1	0.012195121951219513	1	0.018292682926829267	1	0.037037037037037035	1	0.04411764705882353	1	1	164	18	24	54	68	8	16	2	3
Llama-3.1-8B-Instruct	magicoder	43	Llama-3.1-8B-Instruct/magicoder/seed43	scalar_e	magicoder	target	0.6666666666666666	1	0.625	1	0.006097560975609756	1	0.006097560975609756	1	0.018518518518518517	1	0.014705882352941176	1	1	164	18	24	54	68	12	15	1	1
Llama-3.1-8B-Instruct	magicoder	43	Llama-3.1-8B-Instruct/magicoder/seed43	flat_e	magicoder	target	0.5	1	0.7083333333333334	1	0.024390243902439025	1	0.018292682926829267	1	0.07407407407407407	1	0.04411764705882353	1	1	164	18	24	54	68	9	17	4	3
Llama-3.1-8B-Instruct	magicoder	44	Llama-3.1-8B-Instruct/magicoder/seed44	hns_f4_s1	magicoder	target	0.4	1	0.6818181818181818	1	0.012195121951219513	1	0.018292682926829267	1	0.03571428571428571	1	0.045454545454545456	1	1	164	20	22	56	66	8	15	2	3
Llama-3.1-8B-Instruct	magicoder	44	Llama-3.1-8B-Instruct/magicoder/seed44	scalar_e	magicoder	target	0.75	1	0.7272727272727273	1	0.012195121951219513	1	0.006097560975609756	1	0.03571428571428571	1	0.015151515151515152	1	1	164	20	22	56	66	15	16	2	1
Llama-3.1-8B-Instruct	magicoder	44	Llama-3.1-8B-Instruct/magicoder/seed44	flat_e	magicoder	target	0.45	1	0.7272727272727273	1	0.012195121951219513	1	0.018292682926829267	1	0.03571428571428571	1	0.045454545454545456	1	1	164	20	22	56	66	9	16	2	3
Llama-3.1-8B-Instruct	metamath	42	Llama-3.1-8B-Instruct/metamath/seed42	hns_f4_s1	magicoder	off_task	0.47619047619047616	1	0.8333333333333334	1	0.036585365853658534	1	0.0	1	0.1111111111111111	1	0.0	1	1	164	21	24	54	65	10	20	6	0
Llama-3.1-8B-Instruct	metamath	42	Llama-3.1-8B-Instruct/metamath/seed42	scalar_e	magicoder	off_task	0.19047619047619047	1	0.9166666666666666	1	0.012195121951219513	1	0.0	1	0.037037037037037035	1	0.0	1	1	164	21	24	54	65	4	22	2	0
Llama-3.1-8B-Instruct	metamath	42	Llama-3.1-8B-Instruct/metamath/seed42	flat_e	magicoder	off_task	0.47619047619047616	1	0.7916666666666666	1	0.036585365853658534	1	0.0	1	0.1111111111111111	1	0.0	1	1	164	21	24	54	65	10	19	6	0
Llama-3.1-8B-Instruct	metamath	43	Llama-3.1-8B-Instruct/metamath/seed43	hns_f4_s1	magicoder	off_task	0.55	1	0.5	1	0.036585365853658534	1	0.036585365853658534	1	0.10714285714285714	1	0.09090909090909091	1	1	164	20	22	56	66	11	11	6	6
Llama-3.1-8B-Instruct	metamath	43	Llama-3.1-8B-Instruct/metamath/seed43	scalar_e	magicoder	off_task	0.5	1	0.6363636363636364	1	0.036585365853658534	1	0.018292682926829267	1	0.10714285714285714	1	0.045454545454545456	1	1	164	20	22	56	66	10	14	6	3
Llama-3.1-8B-Instruct	metamath	43	Llama-3.1-8B-Instruct/metamath/seed43	flat_e	magicoder	off_task	0.55	1	0.5	1	0.036585365853658534	1	0.042682926829268296	1	0.10714285714285714	1	0.10606060606060606	1	1	164	20	22	56	66	11	11	6	7
Llama-3.1-8B-Instruct	metamath	44	Llama-3.1-8B-Instruct/metamath/seed44	hns_f4_s1	magicoder	off_task	0.4117647058823529	1	0.5454545454545454	1	0.024390243902439025	1	0.024390243902439025	1	0.07142857142857142	1	0.057971014492753624	1	1	164	17	22	56	69	7	12	4	4
Llama-3.1-8B-Instruct	metamath	44	Llama-3.1-8B-Instruct/metamath/seed44	scalar_e	magicoder	off_task	0.5294117647058824	1	0.6818181818181818	1	0.03048780487804878	1	0.024390243902439025	1	0.08928571428571429	1	0.057971014492753624	1	1	164	17	22	56	69	9	15	5	4
Llama-3.1-8B-Instruct	metamath	44	Llama-3.1-8B-Instruct/metamath/seed44	flat_e	magicoder	off_task	0.4117647058823529	1	0.5909090909090909	1	0.024390243902439025	1	0.036585365853658534	1	0.07142857142857142	1	0.08695652173913043	1	1	164	17	22	56	69	7	13	4	6
Llama-3.1-8B-Instruct	tulu	42	Llama-3.1-8B-Instruct/tulu/seed42	hns_f4_s1	magicoder	off_task	0.42857142857142855	1	0.84	1	0.012195121951219513	1	0.012195121951219513	1	0.03773584905660377	1	0.02531645569620253	1	1	164	7	25	53	79	3	21	2	2
Llama-3.1-8B-Instruct	tulu	42	Llama-3.1-8B-Instruct/tulu/seed42	scalar_e	magicoder	off_task	0.42857142857142855	1	0.84	1	0.012195121951219513	1	0.018292682926829267	1	0.03773584905660377	1	0.0379746835443038	1	1	164	7	25	53	79	3	21	2	3
Llama-3.1-8B-Instruct	tulu	42	Llama-3.1-8B-Instruct/tulu/seed42	flat_e	magicoder	off_task	0.42857142857142855	1	0.8	1	0.012195121951219513	1	0.024390243902439025	1	0.03773584905660377	1	0.05063291139240506	1	1	164	7	25	53	79	3	20	2	4
Llama-3.1-8B-Instruct	tulu	43	Llama-3.1-8B-Instruct/tulu/seed43	hns_f4_s1	magicoder	off_task	0.4444444444444444	1	0.8571428571428571	1	0.006097560975609756	1	0.012195121951219513	1	0.02	1	0.025974025974025976	1	1	164	9	28	50	77	4	24	1	2
Llama-3.1-8B-Instruct	tulu	43	Llama-3.1-8B-Instruct/tulu/seed43	scalar_e	magicoder	off_task	0.5555555555555556	1	0.7857142857142857	1	0.012195121951219513	1	0.018292682926829267	1	0.04	1	0.03896103896103896	1	1	164	9	28	50	77	5	22	2	3
Llama-3.1-8B-Instruct	tulu	43	Llama-3.1-8B-Instruct/tulu/seed43	flat_e	magicoder	off_task	0.5555555555555556	1	0.8214285714285714	1	0.012195121951219513	1	0.012195121951219513	1	0.04	1	0.025974025974025976	1	1	164	9	28	50	77	5	23	2	2
Llama-3.1-8B-Instruct	tulu	44	Llama-3.1-8B-Instruct/tulu/seed44	hns_f4_s1	magicoder	off_task	0.42857142857142855	1	0.7692307692307693	1	0.024390243902439025	1	0.018292682926829267	1	0.07692307692307693	1	0.0379746835443038	1	1	164	7	26	52	79	3	20	4	3
Llama-3.1-8B-Instruct	tulu	44	Llama-3.1-8B-Instruct/tulu/seed44	scalar_e	magicoder	off_task	0.2857142857142857	1	0.8846153846153846	1	0.018292682926829267	1	0.018292682926829267	1	0.057692307692307696	1	0.0379746835443038	1	1	164	7	26	52	79	2	23	3	3
Llama-3.1-8B-Instruct	tulu	44	Llama-3.1-8B-Instruct/tulu/seed44	flat_e	magicoder	off_task	0.42857142857142855	1	0.7692307692307693	1	0.024390243902439025	1	0.018292682926829267	1	0.07692307692307693	1	0.0379746835443038	1	1	164	7	26	52	79	3	20	4	3
