checkpoint	benchmark	level	comparison	metric	mean_difference	ci_low	ci_high	bootstrap_defined	bootstrap_resamples	uncertainty
Llama-3.1-8B-Instruct/magicoder/seed42	siqa	atomic_benchmark	hns_f4_s1 minus scalar_e	new_success_rate	-0.000511770726714432	-0.001535312180143296	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	siqa	atomic_benchmark	hns_f4_s1 minus scalar_e	new_damage_rate	-0.0010235414534288639	-0.00255885363357216	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	siqa	atomic_benchmark	hns_f4_s1 minus flat_e	recovery_rate	-0.02352941176470591	-0.07407407407407407	0.023255813953488302	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	siqa	atomic_benchmark	hns_f4_s1 minus flat_e	retention_rate	0.0	-0.047169811320754707	0.04651706150836774	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	siqa	atomic_benchmark	hns_f4_s1 minus flat_e	new_success_rate	-0.0015353121801432957	-0.0035823950870010235	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	siqa	atomic_benchmark	hns_f4_s1 minus flat_e	new_damage_rate	-0.0005117707267144318	-0.001535312180143296	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	siqa	atomic_benchmark	scalar_e minus flat_e	recovery_rate	0.0	-0.07409722222222222	0.07620879120879112	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	siqa	atomic_benchmark	scalar_e minus flat_e	retention_rate	0.06	-0.008148068206345768	0.1279271241077595	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	siqa	atomic_benchmark	scalar_e minus flat_e	new_success_rate	-0.0010235414534288637	-0.00255885363357216	0.0	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	siqa	atomic_benchmark	scalar_e minus flat_e	new_damage_rate	0.000511770726714432	-0.001023541453428864	0.002047082906857728	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	tulu	atomic_benchmark	hns_f4_s1 minus scalar_e	recovery_rate	0.04347826086956519	-0.04166666666666663	0.13043478260869568	2000	2000	paired test samples conditional on one fixed source checkpoint
Llama-3.1-8B-Instruct/magicoder/seed42	tulu	atomic_benchmark	hns_f4_s1 minus scalar_e	retention_rate	0.0	-0.14814814814814814	0.1428571428571428	2000	2000	paired test samples conditional on one fixed source checkpoint
