checkpoint	base	task	seed	method	benchmark	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage	n_000	n_001	n_010	n_011	n_100	n_101	n_110	n_111
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	flat_e	tulu	0.6206896551724138	1	0.37209302325581395	1	0.022181146025878003	1	0.024029574861367836	1	0.07407407407407407	1	0.046762589928057555	1	1	541	58	43	162	278	36	16	12	13	150	12	27	16	22	36	13	265
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	hns_f4_s1	commonsense	0.6986506418159677	8	0.6109353828521761	8	0.018946060179616128	8	0.0072506173992330876	8	0.0811508251613658	8	0.012730817002781876	8	8	22419	2938	907	6431	12143	2156	554	641	152	5790	641	353	554	782	2156	152	11991
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	scalar_e	commonsense	0.6782275391879775	8	0.5891919750886316	8	0.016457271925844688	8	0.009003273349566474	8	0.07254948386539775	8	0.015992900990649435	8	8	22419	2938	907	6431	12143	2065	539	525	180	5906	525	368	539	873	2065	180	11963
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	flat_e	commonsense	0.7014150454649751	8	0.6162899092781311	8	0.018865719228247188	8	0.007376506448536967	8	0.07992615189551172	8	0.013011118860545165	8	8	22419	2938	907	6431	12143	2161	560	639	157	5792	639	347	560	777	2161	157	11986
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	hns_f4_s1	magicoder	0.42857142857142855	1	0.84	1	0.012195121951219513	1	0.012195121951219513	1	0.03773584905660377	1	0.02531645569620253	1	1	164	7	25	53	79	3	21	2	2	51	2	4	21	4	3	2	77
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	scalar_e	magicoder	0.42857142857142855	1	0.84	1	0.012195121951219513	1	0.018292682926829267	1	0.03773584905660377	1	0.0379746835443038	1	1	164	7	25	53	79	3	21	2	3	51	2	4	21	4	3	3	76
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	flat_e	magicoder	0.42857142857142855	1	0.8	1	0.012195121951219513	1	0.024390243902439025	1	0.03773584905660377	1	0.05063291139240506	1	1	164	7	25	53	79	3	20	2	4	51	2	5	20	4	3	4	75
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	hns_f4_s1	metamath	0.7230769230769231	1	0.6198347107438017	1	0.04927975739196361	1	0.02880970432145565	1	0.17333333333333334	1	0.06050955414012739	1	1	1319	195	121	375	628	141	75	65	38	310	65	46	75	54	141	38	590
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	scalar_e	metamath	0.7384615384615385	1	0.7024793388429752	1	0.058377558756633814	1	0.029567854435178165	1	0.20533333333333334	1	0.06210191082802548	1	1	1319	195	121	375	628	144	85	77	39	298	77	36	85	51	144	39	589
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	flat_e	metamath	0.7282051282051282	1	0.6528925619834711	1	0.047763457164518575	1	0.02577710386656558	1	0.168	1	0.054140127388535034	1	1	1319	195	121	375	628	142	79	63	34	312	63	42	79	53	142	34	594
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	hns_f4_s1	tulu	0.5	1	0.6833333333333333	1	0.029574861367837338	1	0.027726432532347505	1	0.1103448275862069	1	0.05319148936170213	1	1	541	54	60	145	282	27	41	16	15	129	16	19	41	27	27	15	267
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	scalar_e	tulu	0.6296296296296297	1	0.7166666666666667	1	0.025878003696857672	1	0.025878003696857672	1	0.09655172413793103	1	0.04964539007092199	1	1	541	54	60	145	282	34	43	14	14	131	14	17	43	20	34	14	268
