cohort	group	feature	outcome	n_checkpoints	n_defined	mean_rho	ci_low	ci_high	positive	zero	negative
A_all_versions	task/tulu	raw_fpr	gain_metamath	6	6	0.040582953053276895	-0.2881399751467376	0.4553946800583504	3	0	3
A_all_versions	base/Qwen3-8B	raw_fpr	gain_tulu	9	9	0.4413887390184307	0.23449202987483583	0.6352625126712156	8	0	1
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	gain_tulu	9	9	0.5401895618867463	0.3487656375522863	0.7090815160533029	9	0	0
A_all_versions	task/magicoder	raw_fpr	gain_tulu	6	6	0.3467037714959547	0.05844639085233268	0.6396579267225929	5	0	1
A_all_versions	task/metamath	raw_fpr	gain_tulu	6	6	0.6494056520953274	0.49408330256739336	0.7841601415833427	6	0	0
A_all_versions	task/tulu	raw_fpr	gain_tulu	6	6	0.47625802776648335	0.3060606060606061	0.6350637228381713	6	0	0
A_all_versions	base/Qwen3-8B	raw_fpr	gain_commonsense	9	9	-0.5125333121112513	-0.7288083552394464	-0.31232498706779377	0	0	9
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	gain_commonsense	9	9	0.18419165903998092	-0.3205335283945755	0.6307062759681519	5	0	4
A_all_versions	task/magicoder	raw_fpr	gain_commonsense	6	6	-0.26727811393301587	-0.7988312169233956	0.3003124875651863	2	0	4
A_all_versions	task/metamath	raw_fpr	gain_commonsense	6	6	0.3423562358243124	-0.06614382538623229	0.726756219907751	3	0	3
A_all_versions	task/tulu	raw_fpr	gain_commonsense	6	6	-0.5675906014982022	-0.8228562159286105	-0.34228115770242157	0	0	6
A_all_versions	base/Qwen3-8B	raw_fpr	gain_arc_challenge	9	9	-0.15244609723082425	-0.5596615759355804	0.25097436330272926	5	0	4
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	gain_arc_challenge	9	9	0.14092493463042038	-0.32694994485715495	0.5827322309036379	5	0	4
A_all_versions	task/magicoder	raw_fpr	gain_arc_challenge	6	6	-0.3236445048400986	-0.7971588621278212	0.18625081641518268	2	0	4
A_all_versions	task/metamath	raw_fpr	gain_arc_challenge	6	6	0.46224119811598335	0.14085490569686193	0.7734940524804136	5	0	1
A_all_versions	task/tulu	raw_fpr	gain_arc_challenge	6	6	-0.15587843717649041	-0.6573743950711094	0.37555248549604975	3	0	3
A_all_versions	base/Qwen3-8B	raw_fpr	gain_arc_easy	9	9	-0.4670217015970823	-0.6705021205586101	-0.26593060193093593	0	0	9
A_all_versions	base/Llama-3.1-8B-Instruct	raw_fpr	gain_arc_easy	9	9	0.12498782926401643	-0.34166757854191265	0.6008557892007226	5	0	4
A_all_versions	task/magicoder	raw_fpr	gain_arc_easy	6	6	-0.4643047969794079	-0.7955232023719082	-0.09147144140092327	1	0	5
