cohort	checkpoint	feature	outcome	spearman	n_arms
A_all_versions	Qwen3-8B/magicoder/seed44	log_energy_ratio	gain_magicoder	0.14824986333222026	7
A_all_versions	Qwen3-8B/metamath/seed42	log_energy_ratio	gain_magicoder	-0.897549110408119	7
A_all_versions	Qwen3-8B/metamath/seed43	log_energy_ratio	gain_magicoder	-0.9349469900084572	7
A_all_versions	Qwen3-8B/metamath/seed44	log_energy_ratio	gain_magicoder	-0.6544628930059201	7
A_all_versions	Qwen3-8B/tulu/seed42	log_energy_ratio	gain_magicoder	0.4861724348043977	7
A_all_versions	Qwen3-8B/tulu/seed43	log_energy_ratio	gain_magicoder	0.7378988555115865	7
A_all_versions	Qwen3-8B/tulu/seed44	log_energy_ratio	gain_magicoder	0.7479575920067658	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed42	raw_fpr	gain_magicoder	0.1682904582015223	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed43	raw_fpr	gain_magicoder	-0.8532469179729296	7
A_all_versions	Llama-3.1-8B-Instruct/magicoder/seed44	raw_fpr	gain_magicoder	-0.0642228862990377	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed42	raw_fpr	gain_magicoder	0.34235623582431246	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed43	raw_fpr	gain_magicoder	-0.7479575920067658	7
A_all_versions	Llama-3.1-8B-Instruct/metamath/seed44	raw_fpr	gain_magicoder	-0.6422288629903771	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed42	raw_fpr	gain_magicoder	-0.7567874686642696	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed43	raw_fpr	gain_magicoder	-0.7064517492894148	7
A_all_versions	Llama-3.1-8B-Instruct/tulu/seed44	raw_fpr	gain_magicoder	-0.6702887344438079	7
A_all_versions	Qwen3-8B/magicoder/seed42	raw_fpr	gain_magicoder	-0.33636363636363636	7
A_all_versions	Qwen3-8B/magicoder/seed43	raw_fpr	gain_magicoder	-0.34545454545454546	7
