checkpoint	method	role	recovery_rate	recovery_rate_defined	retention_rate	retention_rate_defined	new_success_rate	new_success_rate_defined	new_damage_rate	new_damage_rate_defined	new_success_conditional_rate	new_success_conditional_rate_defined	new_damage_conditional_rate	new_damage_conditional_rate_defined	n_units	samples	recovery_set_size	retention_set_size	new_success_set_size	new_damage_set_size	recovered	retained	new_success	new_damage
Llama-3.1-8B-Instruct/tulu/seed44	hns_f4_s1	target	0.4	1	0.7166666666666667	1	0.033271719038817	1	0.018484288354898338	1	0.12413793103448276	1	0.036231884057971016	1	1	541	60	60	145	276	24	43	18	10
Llama-3.1-8B-Instruct/tulu/seed44	hns_f4_s1	off_task	0.49416359099925966	3	0.6434758604900912	3	0.02028856321239932	3	0.01928252720751944	3	0.07259477490401416	3	0.03744113304580469	3	3	23902	1586	2034	5878	14404	596	1075	133	507
Llama-3.1-8B-Instruct/tulu/seed44	scalar_e	all	0.43737053823014327	4	0.7069676347867931	4	0.025353910617089172	4	0.01850649322241486	4	0.09155564726738906	4	0.036160137423159634	4	4	24443	1646	2094	6023	14680	579	1196	160	443
Llama-3.1-8B-Instruct/tulu/seed44	scalar_e	target	0.43333333333333335	1	0.6666666666666666	1	0.027726432532347505	1	0.02033271719038817	1	0.10344827586206896	1	0.03985507246376811	1	1	541	60	60	145	276	26	40	15	11
Llama-3.1-8B-Instruct/tulu/seed44	scalar_e	off_task	0.4387162731957465	3	0.7204012908268353	3	0.024563069978669725	3	0.017897751899757085	3	0.0875914377358291	3	0.03492849240962347	3	3	23902	1586	2034	5878	14404	553	1156	145	432
Llama-3.1-8B-Instruct/tulu/seed44	flat_e	all	0.48521030658405234	4	0.6696507931642418	4	0.022443834923899387	4	0.021123252782971058	4	0.08149680903632309	4	0.041127912713568	4	4	24443	1646	2094	6023	14680	614	1126	145	529
Llama-3.1-8B-Instruct/tulu/seed44	flat_e	target	0.48333333333333334	1	0.7166666666666667	1	0.031423290203327174	1	0.024029574861367836	1	0.11724137931034483	1	0.04710144927536232	1	1	541	60	60	145	276	29	43	17	13
Llama-3.1-8B-Instruct/tulu/seed44	flat_e	off_task	0.485835964334292	3	0.6539788353301002	3	0.019450683164090123	3	0.020154478756838796	3	0.06958195227831583	3	0.03913673385963657	3	3	23902	1586	2034	5878	14404	585	1083	128	516
Qwen3-8B/magicoder/seed42	hns_f4_s1	all	0.8217684952047339	4	0.5295080119200033	4	0.013055723562440766	4	0.007252869099415719	4	0.0983461838570917	4	0.010575007623293506	4	4	24443	680	726	3249	19788	564	272	108	54
Qwen3-8B/magicoder/seed42	hns_f4_s1	target	0.8666666666666667	1	0.5714285714285714	1	0.012195121951219513	1	0.0	1	0.07407407407407407	1	0.0	1	1	164	30	28	27	79	26	16	2	0
Qwen3-8B/magicoder/seed42	hns_f4_s1	off_task	0.8068024380507564	3	0.515534492083814	3	0.013342590766181184	3	0.009670492132554291	3	0.10643688711809758	3	0.014100010164391342	3	3	24279	650	698	3222	19709	538	256	106	54
Qwen3-8B/magicoder/seed42	scalar_e	all	0.8313735050516722	4	0.5418531579801359	4	0.018608162359212414	4	0.010586652320629875	4	0.1344221786410215	4	0.01664230261163628	4	4	24443	680	726	3249	19788	562	298	132	76
Qwen3-8B/magicoder/seed42	scalar_e	target	0.8666666666666667	1	0.5714285714285714	1	0.024390243902439025	1	0.006097560975609756	1	0.14814814814814814	1	0.012658227848101266	1	1	164	30	28	27	79	26	16	4	1
