base	task	seed	module	gain	storage_roundoff_common_gain	effective_common_gain	saved_hns_fro_relative_error	functional_energy_over_hns	source_basis_sha256	nuclear_ratio
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.mlp.up_proj	0.4339101263109443	0.9999993530500185	0.4339098455927961	1.0401441785656829e-06	13.472979716832324	bd7ca5e662e79efc937069af807e106e3f3e61acd4ff2b39b8b614a9bc80cf39	0.4339101263109443
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.self_attn.k_proj	0.835071013839038	0.9999990679293684	0.8350702354938707	2.966047665253768e-07	2.075279488289493	114de60dc520eb33563c06d9e19a18b82bb66b4a44795b914936a7c4167b3374	0.835071013839038
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.self_attn.o_proj	0.5230798597470218	1.000001515540484	0.5230806524957256	4.701377738225432e-07	8.16502502534486	29578a2809fa6728c4817c4e54ca52912c120c769f04e0b09a4327ac2cb5f499	0.5230798597470219
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.self_attn.q_proj	0.6908097165867925	1.000002289749195	0.6908112983677849	1.4202179630107281e-06	6.1536134410798375	217e4ba84ec088d7ea0ea442d72c687180d18988e0c191e09bf317301c094a00	0.6908097165867925
Qwen3-8B	magicoder	42	base_model.model.model.layers.2.self_attn.v_proj	0.41803665206250534	1.0000011152093602	0.4180371182608926	7.674038426941365e-07	11.090598534236214	22f2e51221eea57bce25a7e5e00181195244043134466cf141040400ec3a15c2	0.41803665206250534
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.mlp.down_proj	0.6111062469506334	1.0000011312799786	0.6111069382828954	1.1839097233679041e-06	6.503957676392484	59475aaa529a6864d56f2e6fff7c680b724c9b4f11dc1d39f0d34e6369da7068	0.6111062469506334
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.mlp.gate_proj	0.4627707352170199	1.0000007124440558	0.46277106491527936	8.302886502775664e-07	10.85144490673449	be4407cf3448937c1a443eb59f41044bbb7af14c1e51435d987ac3f305d9b7d5	0.4627707352170199
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.mlp.up_proj	0.5088603411164856	0.99999922411335	0.5088599462985401	8.169035401461855e-07	10.417798409577586	4084145ca52a26994a97f4bfb8d63b37d11b8e978ed804111953d95101d1236e	0.5088603411164856
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.self_attn.k_proj	0.7958402466882485	1.0000014540489042	0.7958414038788871	1.1702452489270598e-06	2.6511595501681193	0dedad0dd2e063375258e4ea6f12a38a81d2a71edd8538e05b10406b51b14441	0.7958402466882486
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.self_attn.o_proj	0.7695993173295037	1.0000014961966155	0.7696004688013975	1.4630095177547986e-06	4.234975460695421	989c560ca287b72b02acaf260b5526c2fd135c92f608c785037ca6c60d05b74a	0.7695993173295037
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.self_attn.q_proj	0.5894487359712343	0.9999987500316451	0.5894479991789674	7.499547958200736e-07	9.278761746862493	55bb54917a699a57cc17fb4b6c8be1019726eedc65759b2b5fd4e9de96aa78ce	0.5894487359712343
Qwen3-8B	magicoder	42	base_model.model.model.layers.20.self_attn.v_proj	0.6459802435415166	0.9999994683055923	0.6459799000774337	7.562982984321565e-07	6.010738136533617	297422927d26846ab43d1a487dd670ccd88f37b10f6d086b22498ea5982290a9	0.6459802435415166
Qwen3-8B	magicoder	42	base_model.model.model.layers.21.mlp.down_proj	0.596931070247224	0.9999991644969924	0.5969305715095196	6.668327481307301e-07	6.223633768973255	090c4902904220550aa9a13a91fec157be52c8f69e8dfb6cf8d2cb72fba3929a	0.596931070247224
Qwen3-8B	magicoder	42	base_model.model.model.layers.21.mlp.gate_proj	0.4665750696821501	1.0000011445737378	0.4665756037117216	6.324826340442513e-07	10.370525254497105	a8e38674c40fcf9832996f77b7f58f44daac82f44fe42f1b4302c181fb705d21	0.4665750696821501
