base	train_task	seed	method	target	target_gain	base_off	off_score	off_gain_lora	off_gain_hns	forgetting_gap
Llama-3.1-8B-Instruct	metamath	44	flat_fro	78.69598180439728	4.094010614101592	61.921787607419255	62.253965635153214	2.672845027917205	-0.29669916254269424	0.887334167387993
Llama-3.1-8B-Instruct	metamath	44	flat_nuclear	78.39272175890827	3.79075056861258	61.921787607419255	61.84474278393521	2.263622176699201	-0.7059220137606985	0.6161429451632733
Llama-3.1-8B-Instruct	metamath	44	dg_hard	74.60197119029569	0.0	61.921787607419255	59.58112060723601	0.0	-2.9695441904598994	3.356927162784873
Llama-3.1-8B-Instruct	metamath	44	hns_f4_s1	79.15087187263077	4.548900682335088	61.921787607419255	62.55066479769591	2.9695441904598994	0.0	0
Llama-3.1-8B-Instruct	tulu	42	original_lora	63.21626617375231	0.0	62.079583730903835	63.726333596042494	0.0	-2.6775326931868952	1.8085346877068673
Llama-3.1-8B-Instruct	tulu	42	flat_fro	64.69500924214418	1.4787430683918714	62.079583730903835	65.76388446296636	2.0375508669238704	-0.6399818262630248	0.1995235496980996
Llama-3.1-8B-Instruct	tulu	42	flat_nuclear	63.21626617375231	0.0	62.079583730903835	66.68926130415285	2.9629277081103567	0.2853950149234616	0.3377142054451146
Llama-3.1-8B-Instruct	tulu	42	dg_hard	63.21626617375231	0.0	62.079583730903835	63.726333596042494	0.0	-2.6775326931868952	1.8085346877068673
Llama-3.1-8B-Instruct	tulu	42	hns_f4_s1	65.4343807763401	2.2181146025877965	62.079583730903835	66.4038662892294	2.6775326931868952	0.0	0.3187705060185806
Llama-3.1-8B-Instruct	tulu	43	original_lora	63.21626617375231	0.0	62.079583730903835	67.57125032454785	0.0	-0.1733191241415355	0
Llama-3.1-8B-Instruct	tulu	43	flat_fro	64.87985212569316	1.6635859519408527	62.079583730903835	67.93976819539192	0.36851787084407545	0.19519874670253992	0
Llama-3.1-8B-Instruct	tulu	43	flat_nuclear	64.51016635859519	1.293900184842876	62.079583730903835	67.73808842704977	0.16683810250193432	-0.006481021639601181	0
Llama-3.1-8B-Instruct	tulu	43	dg_hard	63.21626617375231	0.0	62.079583730903835	67.57125032454785	0.0	-0.1733191241415355	0
Llama-3.1-8B-Instruct	tulu	43	hns_f4_s1	65.24953789279112	2.033271719038815	62.079583730903835	67.74456944868938	0.1733191241415355	0.0	0
Llama-3.1-8B-Instruct	tulu	44	original_lora	63.03142329020333	0.0	62.079583730903835	65.75653060039033	0.0	-0.24703592009432404	0.9603234773818556
Llama-3.1-8B-Instruct	tulu	44	flat_fro	64.32532347504622	1.2939001848428902	62.079583730903835	65.70261994551284	-0.05391065487749103	-0.30094657497181504	0.3285317159464232
Llama-3.1-8B-Instruct	tulu	44	flat_nuclear	65.06469500924214	2.033271719038815	62.079583730903835	65.49695946368549	-0.25957113670483994	-0.506607056799164	0
Llama-3.1-8B-Instruct	tulu	44	dg_hard	63.03142329020333	0.0	62.079583730903835	65.75653060039033	0.0	-0.24703592009432404	0.9603234773818556
Llama-3.1-8B-Instruct	tulu	44	hns_f4_s1	64.87985212569316	1.848428835489834	62.079583730903835	66.00356652048465	0.24703592009432404	0.0	0
